***	O
any	O
sight	O
of	O
land	O
,	O
or	O
supply	O
of	O
provisions	O
or	O
water	O
,	O
which	O
was	O
intolerable	O
;	O
that	O
,	O
as	O
to	O
trade	O
,	O
it	O
was	O
preposterous	O
,	O
and	O
just	O
setting	O
the	O
voyage	O
with	O
the	O
bottom	O
upward	O
;	O
for	O
as	O
we	O
were	O
loaden	O
with	O
goods	O
,	O
and	O
had	O
no	O
money	O
,	O
our	O
first	O
business	O
,	O
they	O
said	O
,	O
was	O
to	O
go	O
to	O
the	O
South	PNM
Seas	PNM
,	O
where	O
our	O
goods	O
were	O
wanted	O
,	O
and	O
would	O
sell	O
for	O
money	O
,	O
and	O
then	O
to	O
the	O
East	PNM
Indies	PNM
,	O
where	O
our	O
money	O
would	O
be	O
wanting	O
,	O
to	O
buy	O
other	O
goods	O
to	O
carry	O
home	O
,	O
and	O
not	O
to	O
go	O
to	O
the	O
East	PNM
Indies	PNM
first	O
,	O
where	O
our	O
goods	O
would	O
not	O
sell	O
,	O
and	O
where	O
we	O
could	O
buy	O
no	O
other	O
for	O
want	O
of	O
money	O
.	O

This	O
was	O
seemingly	O
so	O
strong	O
a	O
way	O
of	O
reasoning	O
,	O
that	O
they	O
were	O
all	O
against	O
me	O
,	O
as	O
well	O
French	O
as	O
English	O
,	O
and	O
even	O
the	O
two	O
agents	O
for	O
discoveries	O
submitted	O
to	O
it	O
;	O
and	O
so	O
we	O
resolved	O
to	O
stand	O
away	O
from	O
the	O
Canaries	O
to	O
the	O
coast	O
o	O
Brazil	PNM
,	O
thence	O
upon	O
the	O
eastern	O
coast	O
of	O
South	PNM
America	PNM
to	O
Cape	PNM
Horn	PNM
,	O
and	O
then	O
into	O
the	O
South	PNM
Seas	PNM
;	O
and	O
,	O
if	O
we	O
met	O
with	O
anything	O
that	O
was	O
Spanish	O
by	O
the	O
way	O
,	O
we	O
resolved	O
to	O
make	O
prize	O
of	O
it	O
,	O
as	O
in	O
a	O
time	O
of	O
war	O
.	O

Accordingly	O
,	O
we	O
made	O
the	O
coast	O
of	O
Brazil	PNM
in	O
twenty-six	O
days	O
,	O
from	O
the	O
Canary	PNM
Islands	PNM
,	O
and	O
went	O
on	O
shore	O
at	O
Cape	PNM
St.	PNM
Augustine	PNM
,	O
for	O
fresh	O
water	O
;	O
afterwards	O
we	O
put	O
into	O
the	O
bay	PNM
of	PNM
All	PNM
Saints	PNM
,	O
got	O
some	O
fresh	O
provisions	O
there	O
,	O
and	O
about	O
an	O
hundred	O
very	O
good	O
hogs	O
,	O
some	O
of	O
which	O
we	O
killed	O
and	O
pickled	O
,	O
and	O
carried	O
the	O
rest	O
on	O
board	O
alive	O
,	O
having	O
taken	O
on	O
board	O
a	O
great	O
quantity	O
of	O
roots	O
and	O
maize	O
,	O
or	O
Indian	O
corn	O
,	O
for	O
their	O
food	O
,	O
which	O
they	O
thrived	O
on	O
very	O
well	O
.	O

It	O
was	O
the	O
last	O
of	O
March	O
when	O
we	O
came	O
to	O
the	O
bay	O
,	O
and	O
having	O
stayed	O
there	O
fourteen	O
days	O
,	O
to	O
furnish	O
ourselves	O
with	O
all	O
things	O
we	O
wanted	O
,	O
we	O
got	O
intelligence	O
there	O
,	O
that	O
there	O
were	O
three	O
ships	O
at	O
Buenos	PNM
Ayres	PNM
,	O
in	O
the	O
river	O
Rio	PNM
de	PNM
la	PNM
Plata	PNM
,	O
which	O
were	O
preparing	O
to	O
go	O
for	O
Europe	PNM
,	O
and	O
that	O
they	O
expected	O
two	O
Spanish	O
men	O
of	O
war	O
to	O
be	O
their	O
convoy	O
,	O
because	O
of	O
the	O
Portuguese	O
men	O
of	O
war	O
which	O
were	O
in	O
Brazil	PNM
,	O
to	O
convoy	O
the	O
Brazil	PNM
fleet	O
.	O

Their	O
having	O
two	O
Spanish	O
men	O
of	O
war	O
with	O
them	O
for	O
their	O
convoy	O
,	O
took	O
away	O
a	O
great	O
deal	O
from	O
the	O
joy	O
we	O
had	O
entertained	O
at	O
the	O
news	O
of	O
their	O
being	O
there	O
,	O
and	O
we	O
began	O
to	O
think	O
we	O
should	O
make	O
little	O
or	O
nothing	O
of	O
it	O
;	O
however	O
,	O
we	O
resolved	O
to	O
see	O
the	O
utmost	O
of	O
it	O
,	O
and	O
,	O
particularly	O
,	O
if	O
our	O
double	O
appearance	O
would	O
not	O
now	O
stand	O
us	O
in	O
some	O
stead	O
.	O

Accordingly	O
,	O
we	O
went	O
away	O
for	O
the	O
river	PNM
of	PNM
Plata	PNM
,	O
and	O
,	O
as	O
usual	O
,	O
spreading	O
French	O
colours	O
,	O
we	O
went	O
boldly	O
up	O
to	O
Buenos	PNM
Ayres	PNM
,	O
and	O
sent	O
in	O
our	O
boat	O
,	O
manned	O
with	O
Frenchmen	O
,	O
pretending	O
to	O
be	O
homeward	O
bound	O
from	O
the	O
South	PNM
Seas	PNM
,	O
and	O
in	O
want	O
of	O
provisions	O
.	O

The	O
Spaniards	O
received	O
us	O
with	O
civility	O
,	O
and	O
granted	O
us	O
such	O
provisions	O
as	O
we	O
wanted	O
;	O
and	O
here	O
we	O
found	O
,	O
to	O
our	O
great	O
satisfaction	O
,	O
that	O
there	O
was	O
no	O
such	O
thing	O
as	O
any	O
Spanish	O
man	O
of	O
war	O
there	O
;	O
but	O
they	O
said	O
they	O
expected	O
one	O
,	O
and	O
the	O
governor	O
there	O
for	O
the	O
King	O
of	O
Spain	PNM
asked	O
our	O
French	O
officer	O
if	O
we	O
would	O
take	O
one	O
of	O
their	O
ships	O
under	O
our	O
convoy	O
?	O

Monsieur	O
Merlotte	O
answered	O
him	O
warily	O
,	O
that	O
his	O
ship	O
was	O
deep	O
loaden	O
,	O
and	O
foul	O
,	O
and	O
he	O
could	O
not	O
undertake	O
anything	O
;	O
but	O
,	O
if	O
they	O
would	O
keep	O
him	O
company	O
,	O
he	O
would	O
do	O
them	O
what	O
service	O
he	O
could	O
;	O
but	O
that	O
also	O
,	O
as	O
they	O
were	O
a	O
rich	O
ship	O
,	O
they	O
did	O
not	O
design	O
to	O
go	O
directly	O
to	O
France	PNM
,	O
but	O
to	O
Martinico	PNM
,	O
where	O
they	O
expected	O
to	O
meet	O
with	O
some	O
French	O
men	O
of	O
war	O
to	O
convoy	O
them	O
home	O
.	O

This	O
answer	O
was	O
so	O
well	O
managed	O
;	O
though	O
there	O
was	O
not	O
one	O
word	O
of	O
truth	O
in	O
it	O
,	O
that	O
one	O
of	O
the	O
three	O
ships	O
,	O
for	O
the	O
other	O
two	O
were	O
not	O
ready	O
,	O
resolved	O
to	O
come	O
away	O
with	O
us	O
,	O
and	O
,	O
in	O
an	O
evil	O
hour	O
for	O
them	O
,	O
they	O
did	O
so	O
.	O

To	O
be	O
brief	O
,	O
we	O
took	O
the	O
innocent	O
Spaniard	O
into	O
our	O
convoy	O
,	O
and	O
sailed	O
away	O
to	O
the	O
northward	O
with	O
them	O
,	O
but	O
were	O
not	O
far	O
at	O
sea	O
before	O
we	O
let	O
them	O
know	O
what	O
circumstances	O
they	O
were	O
in	O
,	O
by	O
the	O
following	O
method	O
.	O

We	O
were	O
about	O
half	O
a	O
league	O
a	O
head	O
of	O
them	O
,	O
when	O
our	O
captain	O
bringing	O
to	O
,	O
and	O
hauling	O
up	O
our	O
courses	O
,	O
made	O
a	O
signal	O
to	O
the	O
Spaniards	O
for	O
the	O
captain	O
to	O
come	O
on	O
board	O
,	O
which	O
he	O
very	O
readily	O
did	O
;	O
as	O
soon	O
as	O
he	O
was	O
on	O
board	O
,	O
our	O
captain	O
let	O
him	O
know	O
that	O
he	O
was	O
our	O
prisoner	O
,	O
and	O
all	O
his	O
men	O
,	O
and	O
immediately	O
manning	O
their	O
boat	O
with	O
thirty	O
of	O
our	O
men	O
,	O
we	O
sent	O
them	O
on	O
board	O
their	O
ship	O
,	O
to	O
take	O
possession	O
of	O
her	O
,	O
but	O
ordered	O
them	O
that	O
they	O
should	O
behave	O
civilly	O
to	O
the	O
men	O
on	O
board	O
,	O
and	O
plunder	O
nothing	O
.	O

For	O
we	O
made	O
a	O
promise	O
to	O
the	O
Spanish	O
captain	O
,	O
that	O
his	O
ship	O
should	O
not	O
be	O
plundered	O
,	O
upon	O
condition	O
he	O
would	O
give	O
us	O
a	O
just	O
account	O
of	O
his	O
loading	O
,	O
and	O
deliver	O
peaceably	O
to	O
us	O
what	O
riches	O
he	O
had	O
on	O
board	O
;	O
then	O
we	O
also	O
agreed	O
,	O
that	O
we	O
would	O
restore	O
him	O
his	O
ship	O
,	O
which	O
by	O
the	O
way	O
,	O
we	O
found	O
was	O
chiefly	O
loaden	O
with	O
hides	O
,	O
things	O
of	O
no	O
value	O
to	O
us	O
,	O
and	O
that	O
the	O
ship	O
also	O
was	O
an	O
old	O
vessel	O
,	O
strong	O
,	O
but	O
often	O
doubled	O
,	O
and	O
therefore	O
a	O
very	O
heavy	O
sailer	O
,	O
and	O
consequently	O
not	O
at	O
all	O
fit	O
for	O
our	O
purpose	O
,	O
though	O
we	O
greatly	O
wanted	O
a	O
ship	O
to	O
take	O
along	O
with	O
us	O
,	O
we	O
having	O
,	O
as	O
I	O
have	O
said	O
,	O
both	O
too	O
many	O
men	O
,	O
and	O
being	O
too	O
full	O
of	O
goods	O
.	O

The	O
Spanish	O
captain	O
,	O
though	O
surprised	O
with	O
the	O
stratagem	O
that	O
had	O
brought	O
him	O
thus	O
into	O
the	O
hands	O
of	O
his	O
enemies	O
,	O
and	O
greatly	O
enraged	O
in	O
his	O
mind	O
at	O
being	O
circumvented	O
,	O
and	O
trepanned	O
out	O
of	O
his	O
ship	O
,	O
yet	O
showed	O
a	O
great	O
presence	O
of	O
mind	O
under	O
his	O
misfortune	O
;	O
and	O
,	O
as	O
I	O
verily	O
believe	O
,	O
he	O
would	O
have	O
fought	O
us	O
very	O
bravely	O
,	O
if	O
we	O
had	O
let	O
him	O
know	O
fairly	O
what	O
we	O
were	O
,	O
so	O
he	O
did	O
not	O
at	O
all	O
appear	O
dejected	O
at	O
his	O
disaster	O
,	O
but	O
capitulated	O
with	O
us	O
as	O
if	O
he	O
had	O
been	O
taken	O
sword	O
in	O
hand	O
.	O

And	O
one	O
time	O
,	O
when	O
Captain	O
Merlotte	O
and	O
he	O
could	O
not	O
agree	O
,	O
and	O
the	O
Spanish	O
captain	O
was	O
a	O
little	O
threatened	O
,	O
he	O
grew	O
warm	O
;	O
told	O
the	O
captain	O
that	O
he	O
might	O
be	O
ill	O
used	O
,	O
being	O
in	O
his	O
hands	O
,	O
but	O
that	O
he	O
was	O
not	O
afraid	O
to	O
suffer	O
whatever	O
his	O
ill	O
fortune	O
had	O
prepared	O
for	O
him	O
,	O
and	O
he	O
would	O
not	O
,	O
for	O
fear	O
of	O
ill	O
usage	O
,	O
yield	O
to	O
base	O
conditions	O
;	O
that	O
he	O
was	O
a	O
man	O
of	O
honour	O
,	O
and	O
if	O
he	O
was	O
so	O
too	O
,	O
he	O
demanded	O
to	O
be	O
put	O
on	O
board	O
his	O
own	O
ship	O
again	O
,	O
and	O
he	O
should	O
see	O
he	O
knew	O
how	O
to	O
behave	O
himself	O
.	O

Captain	O
Merlotte	O
smiled	O
at	O
that	O
,	O
and	O
told	O
him	O
,	O
he	O
was	O
not	O
afraid	O
to	O
put	O
him	O
on	O
board	O
his	O
own	O
ship	O
,	O
and	O
fight	O
for	O
her	O
again	O
,	O
and	O
that	O
,	O
if	O
he	O
did	O
so	O
,	O
he	O
was	O
sure	O
he	O
could	O
not	O
escape	O
him	O
;	O
the	O
Spanish	O
captain	O
smiled	O
too	O
,	O
and	O
told	O
him	O
he	O
should	O
see	O
,	O
if	O
he	O
did	O
,	O
that	O
he	O
knew	O
the	O
way	O
to	O
heaven	O
from	O
the	O
bottom	O
of	O
the	O
sea	O
as	O
well	O
as	O
any	O
other	O
road	O
,	O
and	O
that	O
men	O
of	O
courage	O
were	O
never	O
at	O
a	O
loss	O
to	O
conquer	O
their	O
enemy	O
one	O
way	O
or	O
other	O
;	O
intimating	O
,	O
that	O
he	O
would	O
sink	O
by	O
his	O
side	O
rather	O
than	O
be	O
taken	O
,	O
and	O
that	O
he	O
would	O
take	O
care	O
to	O
be	O
but	O
a	O
very	O
indifferent	O
prize	O
to	O
him	O
,	O
if	O
he	O
was	O
conquered	O
.	O

However	O
,	O
we	O
came	O
to	O
better	O
terms	O
with	O
him	O
afterwards	O
.	O

In	O
short	O
,	O
having	O
taken	O
on	O
board	O
all	O
the	O
silver	O
,	O
which	O
was	O
about	O
two	O
hundred	O
thousand	O
pieces	O
of	O
eight	O
,	O
and	O
whatever	O
else	O
we	O
met	O
with	O
that	O
was	O
valuable	O
,	O
among	O
the	O
rest	O
his	O
ammunition	O
,	O
and	O
six	O
brass	O
guns	O
,	O
we	O
performed	O
conditions	O
,	O
and	O
sent	O
him	O
into	O
the	O
Rio	PNM
de	PNM
la	PNM
Plata	PNM
again	O
with	O
his	O
ship	O
,	O
to	O
let	O
the	O
other	O
Spanish	O
captains	O
know	O
what	O
scouring	O
they	O
had	O
escaped	O
.	O

Though	O
we	O
got	O
a	O
good	O
booty	O
,	O
we	O
were	O
disappointed	O
of	O
a	O
ship	O
;	O
however	O
,	O
we	O
were	O
not	O
so	O
sensible	O
of	O
that	O
disappointment	O
now	O
,	O
as	O
we	O
were	O
afterwards	O
:	O
for	O
,	O
as	O
we	O
depended	O
upon	O
going	O
to	O
the	O
South	O
Seas	O
,	O
we	O
made	O
no	O
doubt	O
of	O
meeting	O
with	O
vessels	O
enough	O
for	O
our	O
purpose	O
.	O

Of	O
what	O
followed	O
,	O
the	O
reader	O
will	O
soon	O
be	O
informed	O
.	O

We	O
had	O
done	O
our	O
work	O
here	O
,	O
and	O
had	O
neither	O
any	O
occasion	O
or	O
any	O
desire	O
to	O
lie	O
any	O
longer	O
on	O
this	O
coast	O
,	O
where	O
the	O
climate	O
was	O
bad	O
,	O
and	O
the	O
weather	O
exceeding	O
hot	O
,	O
and	O
where	O
our	O
men	O
began	O
to	O
be	O
very	O
uneasy	O
,	O
being	O
crowded	O
together	O
so	O
close	O
all	O
in	O
one	O
ship	O
;	O
so	O
we	O
made	O
the	O
best	O
of	O
our	O
way	O
south	O
.	O

We	O
met	O
with	O
some	O
stormy	O
weather	O
in	O
these	O
seas	O
,	O
and	O
particularly	O
a	O
north-west	O
blast	O
,	O
which	O
carried	O
us	O
for	O
eleven	O
days	O
a	O
great	O
way	O
off	O
to	O
sea	O
;	O
but	O
,	O
as	O
we	O
had	O
sea-room	O
enough	O
,	O
and	O
a	O
stout	O
strong-built	O
ship	O
under	O
us	O
,	O
perfectly	O
well	O
prepared	O
,	O
tight	O
and	O
firm	O
,	O
we	O
made	O
light	O
of	O
the	O
storms	O
we	O
met	O
with	O
,	O
and	O
soon	O
came	O
into	O
our	O
right	O
way	O
again	O
;	O
so	O
that	O
,	O
about	O
the	O
4th	O
of	O
May	O
,	O
we	O
made	O
land	O
in	O
the	O
latitude	O
of	O
45	O
°	O
12	O
'	O
,	O
south	O
.	O

We	O
put	O
in	O
here	O
for	O
fresh	O
water	O
;	O
and	O
,	O
finding	O
nothing	O
of	O
the	O
land	O
marked	O
in	O
our	O
charts	O
,	O
we	O
had	O
no	O
knowledge	O
of	O
the	O
place	O
,	O
but	O
,	O
coming	O
to	O
an	O
anchor	O
at	O
about	O
a	O
league	O
from	O
the	O
shore	O
,	O
our	O
boat	O
went	O
in	O
quest	O
of	O
a	O
good	O
watering-place	O
;	O
in	O
pursuit	O
of	O
this	O
,	O
they	O
went	O
up	O
a	O
creek	O
about	O
two	O
leagues	O
more	O
,	O
where	O
they	O
found	O
good	O
water	O
,	O
and	O
filled	O
some	O
casks	O
,	O
and	O
so	O
came	O
on	O
board	O
to	O
make	O
their	O
report	O
.	O

The	O
next	O
day	O
we	O
came	O
into	O
the	O
creek	O
's	O
mouth	O
,	O
where	O
we	O
found	O
six	O
to	O
eight	O
fathom	O
water	O
within	O
a	O
cable	O
's	O
length	O
of	O
the	O
shore	O
,	O
and	O
found	O
fresh	O
water	O
enough	O
,	O
but	O
no	O
people	O
or	O
cattle	O
,	O
though	O
an	O
excellent	O
country	O
for	O
both	O
.	O

Of	O
this	O
country	O
I	O
made	O
many	O
observations	O
,	O
suitable	O
to	O
the	O
design	O
and	O
desire	O
of	O
our	O
ingenious	O
employer	O
and	O
owner	O
;	O
and	O
those	O
observations	O
are	O
one	O
end	O
of	O
publishing	O
this	O
voyage	O
.	O

I	O
shall	O
mention	O
only	O
one	O
observation	O
here	O
,	O
because	O
I	O
shall	O
have	O
occasion	O
to	O
speak	O
of	O
them	O
hereafter	O
more	O
largely	O
.	O

My	O
observation	O
here	O
is	O
as	O
follows	O
:	O
--	O
_	O
An	O
observation	O
concerning	O
the	O
soil	O
and	O
climate	O
of	O
the	O
continent	O
of	O
America	PNM
,	O
south	O
of	O
the	O
river	O
De	PNM
la	PNM
Plata	PNM
;	O
and	O
how	O
suitable	O
to	O
the	O
genius	O
,	O
the	O
constitution	O
,	O
and	O
the	O
manner	O
of	O
living	O
of	O
Englishmen	O
,	O
and	O
consequently	O
for	O
an	O
English	O
colony	O
.	O

_	O
The	O
particular	O
spot	O
which	O
I	O
observe	O
upon	O
,	O
is	O
that	O
part	O
of	O
the	O
continent	O
of	O
America	PNM
which	O
lies	O
on	O
the	O
shore	O
of	O
the	O
North	O
Seas	O
,	O
as	O
they	O
are	O
called	O
,	O
though	O
erroneously	O
,	O
for	O
they	O
are	O
more	O
properly	O
the	O
East	O
Seas	O
,	O
being	O
extended	O
along	O
the	O
east	O
shores	O
of	O
South	PNM
America	PNM
.	O

The	O
land	O
lies	O
on	O
the	O
same	O
east	O
side	O
of	O
America	PNM
,	O
extended	O
north	O
and	O
south	O
from	O
Coasta	PNM
Deserta	PNM
,	O
in	O
42	O
°	O
,	O
to	O
Port	PNM
St.	PNM
Julian	PNM
,	O
in	O
49	O
1/2	O
°	O
,	O
being	O
almost	O
five	O
hundred	O
miles	O
in	O
length	O
,	O
full	O
of	O
very	O
good	O
harbours	O
,	O
and	O
some	O
navigable	O
rivers	O
.	O

The	O
land	O
is	O
a	O
plain	O
for	O
several	O
scores	O
of	O
miles	O
within	O
the	O
shore	O
,	O
with	O
several	O
little	O
rising	O
hills	O
,	O
but	O
nowhere	O
mountainous	O
or	O
stony	O
;	O
well	O
adapted	O
for	O
enclosing	O
,	O
feeding	O
,	O
and	O
grazing	O
of	O
cattle	O
;	O
also	O
for	O
corn	O
,	O
all	O
sorts	O
of	O
which	O
would	O
certainly	O
not	O
only	O
grow	O
,	O
but	O
thrive	O
very	O
well	O
here	O
,	O
especially	O
wheat	O
,	O
rye	O
,	O
pease	O
,	O
and	O
barley	O
,	O
things	O
which	O
would	O
soon	O
be	O
improved	O
by	O
Englishmen	O
,	O
to	O
the	O
making	O
the	O
country	O
rich	O
and	O
populous	O
,	O
the	O
raising	O
great	O
quantities	O
of	O
grain	O
of	O
all	O
sorts	O
,	O
and	O
cattle	O
in	O
proportion	O
.	O

The	O
trade	O
which	O
I	O
propose	O
for	O
the	O
consumption	O
of	O
all	O
the	O
produce	O
,	O
and	O
the	O
place	O
whither	O
to	O
be	O
carried	O
,	O
I	O
refer	O
to	O
speak	O
of	O
by	O
itself	O
,	O
in	O
the	O
farther	O
progress	O
of	O
this	O
work	O
.	O

I	O
return	O
now	O
to	O
the	O
pursuit	O
of	O
our	O
voyage	O
.	O

We	O
put	O
to	O
sea	O
again	O
the	O
10th	O
of	O
May	O
,	O
with	O
fair	O
weather	O
and	O
a	O
fair	O
wind	O
;	O
though	O
a	O
season	O
of	O
the	O
year	O
,	O
it	O
is	O
true	O
,	O
when	O
we	O
might	O
have	O
reason	O
to	O
expect	O
some	O
storms	O
,	O
being	O
what	O
we	O
might	O
call	O
the	O
depth	O
of	O
their	O
winter	O
.	O

However	O
,	O
the	O
winds	O
held	O
northerly	O
,	O
which	O
,	O
there	O
,	O
are	O
to	O
be	O
esteemed	O
the	O
warm	O
winds	O
,	O
and	O
bringing	O
mild	O
weather	O
;	O
and	O
so	O
they	O
did	O
,	O
till	O
we	O
came	O
into	O
the	O
latitude	O
of	O
50	O
°	O
,	O
when	O
we	O
had	O
strong	O
winds	O
and	O
squally	O
weather	O
,	O
with	O
much	O
snow	O
and	O
cold	O
,	O
from	O
the	O
south-west	O
and	O
south-west	O
by	O
west	O
,	O
which	O
,	O
blowing	O
very	O
hard	O
,	O
we	O
put	O
back	O
to	O
Port	PNM
St.	PNM
Julian	PNM
,	O
where	O
we	O
were	O
not	O
able	O
to	O
stir	O
for	O
some	O
time	O
.	O

We	O
weighed	O
again	O
the	O
29th	O
,	O
and	O
stood	O
south	O
again	O
past	O
the	O
mouth	O
of	O
the	O
Straits	PNM
of	PNM
Magellan	PNM
,	O
a	O
strait	O
famous	O
for	O
many	O
years	O
,	O
for	O
being	O
thought	O
to	O
be	O
the	O
only	O
passage	O
out	O
of	O
the	O
North	O
Seas	O
into	O
the	O
South	PNM
Seas	PNM
,	O
and	O
therefore	O
I	O
say	O
famous	O
some	O
ages	O
;	O
not	O
only	O
in	O
the	O
discovery	O
of	O
it	O
by	O
Magellan	O
,	O
a	O
Spanish	O
captain	O
,	O
but	O
of	O
such	O
significance	O
,	O
that	O
,	O
for	O
many	O
years	O
,	O
it	O
was	O
counted	O
a	O
great	O
exploit	O
to	O
pass	O
this	O
strait	O
,	O
and	O
few	O
have	O
ever	O
done	O
it	O
of	O
our	O
nation	O
,	O
but	O
that	O
they	O
have	O
thought	O
fit	O
to	O
tell	O
the	O
world	O
of	O
it	O
as	O
an	O
extraordinary	O
business	O
,	O
fit	O
to	O
be	O
made	O
public	O
as	O
an	O
honour	O
to	O
their	O
names	O
.	O

Nay	O
,	O
King	O
Charles	O
the	O
Second	O
thought	O
it	O
worth	O
while	O
to	O
send	O
Sir	O
John	O
Narborough	O
,	O
on	O
purpose	O
to	O
pass	O
and	O
take	O
an	O
exact	O
survey	O
of	O
this	O
strait	O
;	O
and	O
the	O
map	O
or	O
plan	O
of	O
it	O
has	O
been	O
published	O
by	O
Sir	O
John	O
himself	O
,	O
at	O
the	O
public	O
expense	O
,	O
as	O
a	O
useful	O
thing	O
.	O

Such	O
a	O
mighty	O
and	O
valuable	O
thing	O
also	O
was	O
the	O
passing	O
this	O
strait	O
,	O
that	O
Sir	O
Francis	O
Drake	O
's	O
going	O
through	O
it	O
gave	O
birth	O
to	O
that	O
famous	O
old	O
wives	O
'	O
saying	O
,	O
viz.	O
,	O
that	O
Sir	O
Francis	O
Drake	O
shot	O
the	O
gulf	O
;	O
a	O
saying	O
that	O
was	O
current	O
in	O
England	PNM
for	O
many	O
years	O
after	O
Sir	O
Francis	O
Drake	O
was	O
gone	O
his	O
long	O
journey	O
of	O
all	O
;	O
as	O
if	O
there	O
had	O
been	O
but	O
one	O
gulf	O
in	O
the	O
world	O
,	O
and	O
that	O
passing	O
it	O
had	O
been	O
a	O
wonder	O
next	O
to	O
that	O
of	O
Hercules	O
cleansing	O
the	O
Augean	O
stable	O
.	O

Of	O
this	O
famous	O
place	O
I	O
could	O
not	O
but	O
observe	O
,	O
on	O
this	O
occasion	O
,	O
that	O
,	O
as	O
ignorance	O
gave	O
it	O
its	O
first	O
fame	O
and	O
made	O
it	O
for	O
so	O
many	O
ages	O
the	O
most	O
eminent	O
part	O
of	O
the	O
globe	O
,	O
as	O
it	O
was	O
the	O
only	O
passage	O
by	O
which	O
the	O
whole	O
world	O
could	O
be	O
surrounded	O
,	O
and	O
that	O
it	O
was	O
to	O
every	O
man	O
's	O
honour	O
that	O
had	O
passed	O
it	O
;	O
so	O
now	O
it	O
is	O
come	O
to	O
the	O
full	O
end	O
or	O
period	O
of	O
its	O
fame	O
,	O
and	O
will	O
in	O
all	O
probability	O
never	O
have	O
the	O
honour	O
to	O
have	O
any	O
ship	O
,	O
vessel	O
,	O
or	O
boat	O
,	O
go	O
through	O
it	O
more	O
,	O
while	O
the	O
world	O
remains	O
,	O
unless	O
,	O
which	O
is	O
very	O
improbable	O
,	O
that	O
part	O
of	O
the	O
world	O
should	O
come	O
to	O
be	O
fully	O
inhabited	O
.	O

I	O
know	O
some	O
are	O
of	O
opinion	O
,	O
that	O
,	O
before	O
the	O
full	O
period	O
of	O
the	O
earth	O
's	O
existence	O
,	O
all	O
the	O
remotest	O
and	O
most	O
barren	O
parts	O
of	O
it	O
shall	O
be	O
peopled	O
;	O
but	O
I	O
see	O
no	O
ground	O
for	O
such	O
a	O
notion	O
,	O
but	O
many	O
reasons	O
which	O
would	O
make	O
it	O
appear	O
to	O
be	O
impracticable	O
,	O
and	O
indeed	O
impossible	O
;	O
unless	O
it	O
should	O
please	O
God	O
to	O
alter	O
the	O
situation	O
of	O
the	O
globe	O
as	O
it	O
respects	O
the	O
sun	O
,	O
and	O
place	O
it	O
in	O
a	O
direct	O
,	O
as	O
it	O
now	O
moves	O
in	O
an	O
oblique	O
position	O
;	O
or	O
that	O
a	O
new	O
species	O
of	O
mankind	O
should	O
be	O
produced	O
,	O
who	O
might	O
be	O
as	O
well	O
qualified	O
to	O
live	O
in	O
the	O
frozen	O
zone	O
as	O
we	O
are	O
in	O
the	O
temperate	O
,	O
and	O
upon	O
whom	O
the	O
extremity	O
of	O
cold	O
could	O
have	O
no	O
power	O
.	O

I	O
say	O
,	O
as	O
there	O
are	O
several	O
parts	O
of	O
the	O
globe	O
where	O
this	O
would	O
be	O
impracticable	O
,	O
I	O
shall	O
say	O
no	O
more	O
than	O
this	O
,	O
that	O
I	O
think	O
it	O
is	O
a	O
groundless	O
suggestion	O
.	O

But	O
to	O
return	O
to	O
our	O
voyage	O
;	O
we	O
passed	O
by	O
the	O
mouth	O
of	O
this	O
famous	O
Strait	PNM
of	PNM
Magellan	PNM
,	O
and	O
those	O
others	O
which	O
were	O
passed	O
through	O
by	O
Le	O
Maire	O
the	O
Dutch	O
sailor	O
afterwards	O
;	O
and	O
keeping	O
an	O
offing	O
of	O
six	O
or	O
seven	O
leagues	O
,	O
went	O
away	O
south	O
,	O
till	O
we	O
came	O
into	O
the	O
latitude	O
of	O
58	O
°	O
,	O
when	O
we	O
would	O
,	O
as	O
we	O
had	O
tried	O
three	O
days	O
before	O
,	O
have	O
stretched	O
away	O
south-west	O
,	O
to	O
have	O
got	O
into	O
the	O
South	PNM
Seas	PNM
,	O
but	O
a	O
strong	O
gale	O
of	O
wind	O
took	O
us	O
at	O
west-north-west	O
,	O
and	O
though	O
we	O
could	O
,	O
lying	O
near	O
to	O
it	O
,	O
stretch	O
away	O
to	O
the	O
southward	O
,	O
yet	O
,	O
as	O
it	O
over-blowed	O
,	O
we	O
could	O
make	O
no	O
westward	O
way	O
;	O
and	O
though	O
we	O
had	O
under	O
us	O
an	O
excellent	O
strong-built	O
vessel	O
,	O
that	O
,	O
we	O
may	O
say	O
,	O
valued	O
not	O
the	O
waves	O
,	O
and	O
made	O
very	O
good	O
work	O
of	O
it	O
,	O
yet	O
we	O
went	O
away	O
to	O
leeward	O
in	O
spite	O
of	O
all	O
we	O
could	O
do	O
,	O
and	O
lost	O
ground	O
apace	O
.	O

We	O
held	O
it	O
out	O
,	O
however	O
,	O
the	O
weather	O
being	O
clear	O
,	O
but	O
excessive	O
cold	O
,	O
till	O
we	O
found	O
ourselves	O
in	O
the	O
latitude	O
of	O
64	O
°	O
.	O

We	O
called	O
our	O
council	O
several	O
times	O
,	O
to	O
consider	O
what	O
we	O
should	O
do	O
,	O
for	O
we	O
did	O
but	O
drive	O
to	O
leeward	O
the	O
longer	O
we	O
strove	O
with	O
it	O
;	O
the	O
gale	O
held	O
still	O
on	O
,	O
and	O
,	O
